pick_date,ticker,direction,score,entry_close,exit_date,exit_close,return_pct,spy_return_pct,beat_spy,no_call
2026-08-21,MSTU,LONG,30,27.0446,2026-08-28,30.03,11.04,0.48,True,False
2026-08-21,NVDA,LONG,100,214.72,2026-08-28,217.55,1.32,0.48,True,False
2026-08-21,RFAI,LONG,56,58.0,2026-08-28,52.05,-10.26,0.48,False,False
2026-08-21,SNXX,WATCH,23,15.01,2026-08-28,12.86,-14.32,0.48,,True
2026-08-21,SUGP,LONG,56,1.6,2026-08-28,0.8,-50.0,0.48,False,False
2026-08-24,BTCT,SHORT,56,1.74,2026-08-31,2.095,-20.4,0.46,False,False
2026-08-24,DXST,LONG,54,2.95,2026-08-31,2.59,-12.2,0.46,False,False
2026-08-24,IBIT,LONG,40,44.64,2026-08-31,44.67,0.07,0.46,False,False
2026-08-24,LUCY,WATCH,10,1.12,2026-08-31,0.9001,-19.63,0.46,,True
2026-08-24,PMI,WATCH,10,5.13,2026-08-31,8.335,62.48,0.46,,True
2026-08-24,SDOT,WATCH,15,23.16,2026-08-31,14.24,-38.51,0.46,,True
2026-08-24,SNXX,WATCH,15,13.05,2026-08-31,14.29,9.5,0.46,,True
2026-08-24,SOXL,SHORT,40,111.16,2026-08-31,112.83,-1.5,0.46,False,False
2026-08-24,SOXS,LONG,35,50.75,2026-08-31,49.01,-3.43,0.46,False,False
2026-08-24,XPON,WATCH,15,6.2,2026-08-31,7.01,13.06,0.46,,True
2026-08-25,AIXI,WATCH,41,1.31,2026-09-01,0.4803,-63.34,-0.54,,True
2026-08-25,AMIX,WATCH,34,7.19,2026-09-01,4.575,-36.37,-0.54,,True
2026-08-25,BTCT,LONG,75,2.0,2026-09-01,1.915,-4.25,-0.54,False,False
2026-08-25,DAIC,LONG,73,3.88,2026-09-01,4.25,9.54,-0.54,True,False
2026-08-25,DKS,LONG,82,124.31,2026-09-01,133.3983,7.31,-0.54,True,False
2026-08-25,PRZO,LONG,56,0.82,2026-09-01,0.8647,5.45,-0.54,True,False
2026-08-25,RZLV,LONG,40,2.96,2026-09-01,2.3466,-20.72,-0.54,False,False
2026-08-25,SNXX,WATCH,15,12.88,2026-09-01,14.4,11.8,-0.54,,True
2026-08-25,SOXL,SHORT,40,115.67,2026-09-01,106.94,7.55,-0.54,True,False
2026-08-25,SWVL,WATCH,15,2.21,2026-09-01,3.19,44.34,-0.54,,True
2026-08-26,ANF,WATCH,20,147.75,2026-09-02,136.64,-7.52,0.0,,True
2026-08-26,CDTG,WATCH,45,1.15,2026-09-02,0.9632,-16.24,0.0,,True
2026-08-26,CRE,WATCH,15,6.81,2026-09-02,2.95,-56.68,0.0,,True
2026-08-26,DAIC,WATCH,45,5.15,2026-09-02,3.045,-40.87,0.0,,True
2026-08-26,IBIT,WATCH,15,44.46,2026-09-02,43.79,-1.51,0.0,,True
2026-08-26,LGCL,WATCH,36,7.1625,2026-09-02,4.27,-40.38,0.0,,True
2026-08-26,MSS,WATCH,10,1.63,2026-09-02,1.46,-10.43,0.0,,True
2026-08-26,SNXX,WATCH,15,13.14,2026-09-02,14.005,6.58,0.0,,True
2026-08-26,SOAR,WATCH,10,0.2429,2026-09-02,0.2311,-4.86,0.0,,True
2026-08-27,CISS,WATCH,20,2.13,2026-09-03,1.38,-35.21,0.27,,True
2026-08-27,MERC,LONG,30,0.39,2026-09-03,0.3646,-6.51,0.27,False,False
2026-08-27,NVD,LONG,30,3.73,2026-09-03,3.65,-2.14,0.27,False,False
2026-08-27,NVDA,LONG,91,227.98,2026-09-03,228.45,0.21,0.27,False,False
2026-08-27,OKTA,SHORT,35,172.91,2026-09-03,170.42,1.44,0.27,True,False
2026-08-27,PPCB,WATCH,15,2.23,2026-09-03,1.02,-54.26,0.27,,True
2026-08-27,SOXL,SHORT,40,123.05,2026-09-03,106.81,13.2,0.27,True,False
2026-08-27,VNRX,LONG,78,0.501,2026-09-03,0.3411,-31.92,0.27,False,False
2026-08-27,WKSP,LONG,68,0.63,2026-09-03,0.5793,-8.05,0.27,False,False
2026-08-27,YAAS,WATCH,21,2.5,2026-09-03,1.76,-29.6,0.27,,True
2026-08-28,AEMD,WATCH,10,2.49,2026-09-04,1.82,-26.91,0.11,,True
2026-08-28,AFRM,LONG,35,77.76,2026-09-04,72.35,-6.96,0.11,False,False
2026-08-28,FNGR,LONG,30,0.398,2026-09-04,0.1974,-50.4,0.11,False,False
2026-08-28,IREN,LONG,35,35.45,2026-09-04,44.68,26.04,0.11,True,False
2026-08-28,NA,LONG,30,2.22,2026-09-04,2.24,0.9,0.11,True,False
2026-08-28,NVDA,LONG,95,217.55,2026-09-04,230.36,5.89,0.11,True,False
2026-08-28,PYPL,LONG,35,53.5237,2026-09-04,54.96,2.68,0.11,True,False
2026-08-28,QNRX,WATCH,15,6.12,2026-09-04,7.26,18.63,0.11,,True
2026-08-28,SOLS,LONG,30,63.53,2026-09-04,63.73,0.31,0.11,True,False
2026-08-28,WHLR,WATCH,10,1.07,2026-09-04,0.4184,-60.9,0.11,,True
2026-08-31,AEHL,WATCH,15,6.49,2026-09-08,8.04,23.88,-0.14,,True
2026-08-31,EIX,SHORT,30,53.98,2026-09-08,59.345,-9.94,-0.14,False,False
2026-08-31,IBIT,SHORT,35,44.67,2026-09-08,44.39,0.63,-0.14,True,False
2026-08-31,MOVE,WATCH,10,10.95,2026-09-08,14.89,35.98,-0.14,,True
2026-08-31,PCG,WATCH,15,13.27,2026-09-08,14.815,11.64,-0.14,,True
2026-08-31,RDHL,WATCH,10,0.9,2026-09-08,0.65,-27.78,-0.14,,True
2026-08-31,SOXS,SHORT,35,49.02,2026-09-08,44.09,10.06,-0.14,True,False
